input,output,instruction,text
"Show me the containers with the volume set as ""/data"" and the ancestor set as ""postgres"".",docker ps -a --filter 'volume=/data' --filter 'ancestor=postgres',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the containers with the volume set as ""/data"" and the ancestor set as ""postgres"".

### Response:
docker ps -a --filter 'volume=/data' --filter 'ancestor=postgres'</s>"
I need to see the details of the container you executed most recently.,docker ps -l,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I need to see the details of the container you executed most recently.

### Response:
docker ps -l</s>"
Find all Docker containers with an exited status and an image ancestry of nginx.,docker ps -a --filter 'status=exited' --filter 'ancestor=nginx',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Find all Docker containers with an exited status and an image ancestry of nginx.

### Response:
docker ps -a --filter 'status=exited' --filter 'ancestor=nginx'</s>"
Give me the details of the dangling images including their repository names.  ,"docker images --filter ""dangling=true"" --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me the details of the dangling images including their repository names.  

### Response:
docker images --filter ""dangling=true"" --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
"Please give me a list of all containers, regardless of their status. ",docker ps -a,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please give me a list of all containers, regardless of their status. 

### Response:
docker ps -a</s>"
List all the running containers that expose the port 80. ,docker ps --filter 'expose=80',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all the running containers that expose the port 80. 

### Response:
docker ps --filter 'expose=80'</s>"
Please display the dangling images.,docker images -f dangling=true,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please display the dangling images.

### Response:
docker images -f dangling=true</s>"
Can you show me the digests for all the Docker images? ,docker images --digests,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Can you show me the digests for all the Docker images? 

### Response:
docker images --digests</s>"
Give me a list of nginx images.,docker images nginx,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of nginx images.

### Response:
docker images nginx</s>"
"It's necessary to log in using your credentials ""johndoe"" and ""mypassword"" on anotherregistry.example.com.","""docker login anotherregistry.example.com --username=johndoe --password=mypassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
It's necessary to log in using your credentials ""johndoe"" and ""mypassword"" on anotherregistry.example.com.

### Response:
""docker login anotherregistry.example.com --username=johndoe --password=mypassword""</s>"
Please list all the containers running with the label 'com.example.vendor' set as ACME from the vendor ACME.,docker ps -a --filter 'label=com.example.vendor=ACME' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please list all the containers running with the label 'com.example.vendor' set as ACME from the vendor ACME.

### Response:
docker ps -a --filter 'label=com.example.vendor=ACME' --filter 'status=running'</s>"
Show the Docker images to me.,docker images,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show the Docker images to me.

### Response:
docker images</s>"
"Show me all the containers, whether running or stopped. ",docker ps -a -q,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me all the containers, whether running or stopped. 

### Response:
docker ps -a -q</s>"
"Show me the images before ""nginx:latest"".",docker images -f before=nginx:latest,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the images before ""nginx:latest"".

### Response:
docker images -f before=nginx:latest</s>"
"List the images filtered by the label ""maintainer=nginx"" and show their repository, tag, and ID.","docker images --filter ""label=maintainer=nginx"" --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List the images filtered by the label ""maintainer=nginx"" and show their repository, tag, and ID.

### Response:
docker images --filter ""label=maintainer=nginx"" --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
